"tradeup_id","skinsnipe_id","slug","type"
"68","68","community-stickers-series-2","capsule"
"71","71","community-stickers-series-4","capsule"
"1","1","AK-47-Asiimov","item"
"2","2","Desert-Eagle-Mecha-Industries","item"
"3","3","AWP-Neo-Noir","item"
"4","4","MP5-SD-Phosphor","item"
"5","5","UMP-45-Momentum","item"
"6","6","USP-S-Flashback","item"
"7","7","P250-Nevermore","item"
"8","8","MAC-10-Pipe-Down","item"
"9","9","Galil-AR-Signal","item"
"10","10","G3SG1-Scavenger","item"
"11","11","M4A4-Magnesium","item"
"12","12","Glock-18-Oxide-Blaze","item"
"13","13","Tec-9-Fubar","item"
"14","14","SG-553-Danger-Close","item"
"15","15","MP9-Modest-Threat","item"
"16","16","Sawed-Off-Black-Sand","item"
"17","17","Nova-Wood-Fired","item"
"18","18","AK-47-Neon-Rider","item"
"19","19","Desert-Eagle-Code-Red","item"
"20","20","M4A1-S-Nightmare","item"
"21","21","FAMAS-Eye-of-Athena","item"
"22","22","Sawed-Off-Devourer","item"
"23","23","AWP-PAW","item"
"24","24","CZ75-Auto-Eco","item"
"25","25","MP7-Powercore","item"
"26","26","Nova-Toy-Soldier","item"
"27","27","G3SG1-High-Seas","item"
"28","28","Glock-18-Warhawk","item"
"29","29","AUG-Amber-Slipstream","item"
"30","30","P90-Traction","item"
"31","31","Tec-9-Snek-9","item"
"32","32","R8-Revolver-Survivalist","item"
"33","33","MP9-Capillary","item"
"34","34","Dual-Berettas-Shred","item"
"35","35","M4A4-Neo-Noir","item"
"36","36","MP7-Bloodsport","item"
"37","37","USP-S-Cortex","item"
"38","38","AWP-Mortis","item"
"39","39","AUG-Stymphalian","item"
"40","40","Glock-18-Moonrise","item"
"41","41","UMP-45-Arctic-Wolf","item"
"42","42","MAG-7-SWAG-7","item"
"43","43","Nova-Wild-Six","item"
"44","44","Negev-Lionfish","item"
"45","45","SG-553-Aloha","item"
"46","46","R8-Revolver-Grip","item"
"47","47","Five-SeveN-Flame-Test","item"
"48","48","P2000-Urban-Hazard","item"
"49","49","PP-Bizon-Night-Riot","item"
"50","50","MP9-Black-Sand","item"
"51","51","XM1014-Oxide-Blaze","item"
"52","52","AK-47-The-Empress","item"
"53","53","P250-See-Ya-Later","item"
"54","54","M4A1-S-Leaded-Glass","item"
"55","55","PP-Bizon-High-Roller","item"
"56","56","R8-Revolver-Llama-Cannon","item"
"57","57","SG-553-Phantom","item"
"58","58","CZ75-Auto-Tacticat","item"
"59","59","UMP-45-Exposure","item"
"60","60","MP9-Goo","item"
"61","61","XM1014-Ziggy","item"
"62","62","AUG-Triqua","item"
"63","63","Glock-18-Off-World","item"
"64","64","MAC-10-Oceanic","item"
"65","65","Tec-9-Cracked-Opal","item"
"66","66","G3SG1-Hunter","item"
"67","67","Sawed-Off-Morris","item"
"69","69","M4A1-S-Mecha-Industries","item"
"70","70","Glock-18-Wasteland-Rebel","item"
"72","72","P2000-Imperial-Dragon","item"
"73","73","SCAR-20-Bloodsport","item"
"74","74","AWP-Phobos","item"
"75","75","AUG-Aristocrat","item"
"76","76","R8-Revolver-Reboot","item"
"77","77","P90-Chopper","item"
"78","78","Sawed-Off-Limelight","item"
"79","79","Five-SeveN-Violent-Daimyo","item"
"80","80","SG-553-Aerial","item"
"81","81","P250-Iron-Clad","item"
"82","82","MAC-10-Carnivore","item"
"83","83","Tec-9-Ice-Cap","item"
"84","84","PP-Bizon-Harvester","item"
"85","85","Nova-Exo","item"
"86","86","AK-47-Neon-Revolution","item"
"87","87","FAMAS-Roll-Cage","item"
"88","88","AUG-Syd-Mead","item"
"89","89","Tec-9-Fuel-Injector","item"
"90","90","MP9-Airlock","item"
"91","91","Desert-Eagle-Directive","item"
"92","92","Glock-18-Weasel","item"
"93","93","SG-553-Triarch","item"
"94","94","MAG-7-Petroglyph","item"
"95","95","SCAR-20-Powercore","item"
"96","96","P90-Grim","item"
"97","97","UMP-45-Briefing","item"
"98","98","CZ75-Auto-Imprint","item"
"99","99","Negev-Dazzle","item"
"100","100","Five-SeveN-Scumbria","item"
"101","101","XM1014-Slipstream","item"
"102","102","G3SG1-Ventilator","item"
"103","103","M4A4-Buzz-Kill","item"
"104","104","SSG-08-Dragonfire","item"
"105","105","Sawed-Off-Wasteland-Princess","item"
"106","106","FAMAS-Mecha-Industries","item"
"107","107","P90-Shallow-Grave","item"
"108","108","USP-S-Cyrex","item"
"109","109","M4A1-S-Flashback","item"
"110","110","Dual-Berettas-Royal-Consorts","item"
"111","111","Nova-Gila","item"
"112","112","G3SG1-Stinger","item"
"113","113","Glock-18-Ironwork","item"
"114","114","MP7-Cirrus","item"
"115","115","Galil-AR-Black-Sand","item"
"116","116","P2000-Turf","item"
"117","117","CZ75-Auto-Polymer","item"
"118","118","MAG-7-Sonar","item"
"119","119","MP9-Sand-Scale","item"
"120","120","AK-47-Bloodsport","item"
"121","121","USP-S-Neo-Noir","item"
"122","122","AWP-Fever-Dream","item"
"123","123","M4A1-S-Decimator","item"
"124","124","CZ75-Auto-Xiangliu","item"
"125","125","UMP-45-Scaffold","item"
"126","126","M249-Emerald-Poison-Dart","item"
"127","127","XM1014-Seasons","item"
"128","128","MAC-10-Last-Dive","item"
"129","129","Galil-AR-Crimson-Tsunami","item"
"130","130","Desert-Eagle-Oxide-Blaze","item"
"131","131","Five-SeveN-Capillary","item"
"132","132","P250-Ripple","item"
"133","133","SCAR-20-Blueprint","item"
"134","134","Sawed-Off-Zander","item"
"135","135","MP7-Akoben","item"
"136","136","PP-Bizon-Jungle-Slipstream","item"
"137","137","AWP-Lightning-Strike","item"
"138","138","AK-47-Case-Hardened","item"
"139","139","Desert-Eagle-Hypnotic","item"
"140","140","Glock-18-Dragon-Tattoo","item"
"141","141","M4A1-S-Dark-Water","item"
"142","142","USP-S-Dark-Water","item"
"143","143","SG-553-Ultraviolet","item"
"144","144","AUG-Wings","item"
"145","145","MP7-Skulls","item"
"146","146","SSG-08-Blood-in-the-Water","item"
"147","147","P90-Cold-Blooded","item"
"148","148","USP-S-Serum","item"
"149","149","Five-SeveN-Case-Hardened","item"
"150","150","MP9-Hypnotic","item"
"151","151","Dual-Berettas-Hemoglobin","item"
"152","152","Nova-Graphite","item"
"153","153","SCAR-20-Crimson-Web","item"
"154","154","M4A1-S-Blood-Tiger","item"
"155","155","FAMAS-Hexane","item"
"156","156","Tec-9-Blue-Titanium","item"
"157","157","P250-Hive","item"
"158","158","CZ75-Auto-Victoria","item"
"159","159","P250-Undertow","item"
"160","160","CZ75-Auto-The-Fuschia-Is-Now","item"
"161","161","Desert-Eagle-Heirloom","item"
"162","162","Five-SeveN-Copper-Galaxy","item"
"163","163","Tec-9-Titanium-Bit","item"
"164","164","CZ75-Auto-Tread-Plate","item"
"165","165","CZ75-Auto-Crimson-Web","item"
"166","166","USP-S-Stainless","item"
"167","167","Glock-18-Blue-Fissure","item"
"168","168","Dual-Berettas-Panther","item"
"169","169","P2000-Red-FragCam","item"
"170","170","Galil-AR-Chatterbox","item"
"171","171","AWP-Man-o'-war","item"
"172","172","M4A4-龍王-(Dragon-King)","item"
"173","173","AK-47-Cartel","item"
"174","174","P250-Muertos","item"
"175","175","Desert-Eagle-Naga","item"
"176","176","MAC-10-Malachite","item"
"177","177","Dual-Berettas-Urban-Shock","item"
"178","178","Sawed-Off-Serenity","item"
"179","179","Glock-18-Catacombs","item"
"180","180","MP9-Deadly-Poison","item"
"181","181","M249-System-Lock","item"
"182","182","SCAR-20-Grotto","item"
"183","183","XM1014-Quicksilver","item"
"184","184","M4A1-S-Hyper-Beast","item"
"185","185","MAC-10-Neon-Rider","item"
"186","186","Galil-AR-Eco","item"
"187","187","Five-SeveN-Monkey-Business","item"
"188","188","FAMAS-Djinn","item"
"189","189","AWP-Worm-God","item"
"190","190","MAG-7-Heat","item"
"191","191","CZ75-Auto-Pole-Position","item"
"192","192","UMP-45-Grand-Prix","item"
"193","193","AK-47-Elite-Build","item"
"194","194","Desert-Eagle-Bronze-Deco","item"
"195","195","P250-Valence","item"
"196","196","Sawed-Off-Origami","item"
"197","197","MP7-Armor-Core","item"
"198","198","Negev-Man-o'-war","item"
"199","199","M4A1-S-Chantico's-Fire","item"
"200","200","PP-Bizon-Judgement-of-Anubis","item"
"201","201","P250-Asiimov","item"
"202","202","AUG-Fleet-Flock","item"
"203","203","UMP-45-Primal-Saber","item"
"204","204","SSG-08-Ghost-Crusader","item"
"205","205","CZ75-Auto-Red-Astor","item"
"206","206","XM1014-Black-Tie","item"
"207","207","Galil-AR-Firefight","item"
"208","208","Tec-9-Re-Entry","item"
"209","209","SG-553-Atlas","item"
"210","210","P2000-Oceanic","item"
"211","211","MP9-Bioleak","item"
"212","212","Dual-Berettas-Ventilators","item"
"213","213","G3SG1-Orange-Crash","item"
"214","214","M249-Spectre","item"
"215","215","Sawed-Off-Fubar","item"
"216","216","P90-Death-by-Kitty","item"
"217","217","AK-47-Red-Laminate","item"
"218","218","AWP-BOOM","item"
"219","219","Galil-AR-Orange-DDPAT","item"
"220","220","P250-Splash","item"
"221","221","Sawed-Off-Orange-DDPAT","item"
"222","222","M4A4-Faded-Zebra","item"
